Team,History,Cycle,DirAdv,CorpAdv,Commission,AgentsDistr,Training,ManagBudget,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
DrugiRusekZ5,3,6,14.0,58.623999999999995,12.0,5,45.0,168000.0,105,4.14,510.0,175.0,9.2,0.0,499.49729729729734,493,437
DrugiRusekZ6,3,6,15.0,55.623999999999995,12.0,5,20.0,166666.66666666666,59,2.3,506.0,175.0,8.2,0.0,496.40207972270366,403,442
FullJoin,3,6,12.0,50.623999999999995,11.0,5,37.0,250000.0,96,4.09,492.0,170.0,10.5,0.0,496.5480943738657,535,490
HEATTEAM,3,6,21.0,55.623999999999995,11.0,5,33.0,190000.0,0,4.18,525.0,165.0,0.0,10.2,506.6,448,410
Mezzafive,3,6,11.0,40.623999999999995,10.0,5,15.0,216666.66666666666,114,4.11,511.0,180.0,0.0,0.0,508.1666666666667,451,438
MinisterstwoStrategii,3,6,14.0,55.623999999999995,13.0,5,38.0,213333.3333333333,1,4.18,566.0,165.0,0.0,7.1,503.0,343,452
SGGW,3,6,18.0,58.623999999999995,12.0,5,17.0,166666.66666666666,0,2.32,496.0,182.0,9.0,0.0,501.644407345576,435,485
SystemyGB,3,6,17.0,60.623999999999995,12.0,7,28.0,191666.66666666666,15,4.1,519.0,172.0,10.1,10.4,508.4794520547945,451,500
Triada,3,6,20.0,60.623999999999995,12.0,4,33.0,166666.66666666666,146,3.58,496.0,180.0,0.0,0.0,494.3333333333333,439,428
UniversalSolutions,3,6,16.0,55.623999999999995,11.0,5,36.0,170000.0,82,4.21,510.0,179.0,0.0,0.0,488.6666666666667,448,401
VinciSquad,3,6,14.0,55.623999999999995,13.0,5,38.0,213333.3333333333,29,4.2,566.0,175.0,0.0,8.8,541.1666666666666,383,452
5cars,3,7,20.0,71.3744,12.0,6,17.0,183333.3333333333,16,4.22,494.0,185.0,0.0,0.0,511.85714285714283,583,450
AMS,3,7,18.0,46.1744,12.0,5,38.0,177333.3333333333,9,3.81,499.0,172.0,11.6,11.9,518.3033509700176,528,514
ANA,3,7,25.0,73.3744,13.0,6,25.0,290000.0,0,4.08,528.0,165.0,7.3,9.8,494.92259083728277,545,359
BandTInc,3,7,15.0,54.374399999999994,15.0,6,42.0,233333.3333333333,0,4.0,500.0,175.0,0.0,12.3,506.5,596,597
Batmaja,3,7,20.0,52.374399999999994,7.0,6,18.0,235000.0,0,4.01,476.0,180.0,11.5,10.5,478.7415929203539,531,502
Bekarty,3,7,27.0,50.374399999999994,12.0,5,42.0,166666.66666666666,86,4.11,500.0,177.0,8.5,11.1,491.3574803149607,520,387
