Team,History,Cycle,DirAdv,CorpAdv,Support,FailedVisits,Training,ManagBudget,WebDev,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
Historia,0,0,0.0,0.0,0.0,100.0,1.0,26666.666666666664,0.0,0,1.75,0.0,100.0,0.0,0.0,,0,0
Historia,0,1,0.0,0.0,0.0,100.0,3.0,73333.33333333333,0.0,0,1.55,0.0,115.0,0.0,0.0,,0,0
Historia,0,2,0.0,0.0,0.0,100.0,1.0,90000.0,0.0,0,1.6,0.0,115.0,0.0,0.0,,0,0
Historia,0,3,0.0,0.0,9.0,0.09999999999999432,0.0,103333.33333333333,15.0,0,1.65,0.0,115.0,0.0,0.0,,0,0
Historia,0,4,5.0,10.0,9.0,0.09999999999999432,0.0,111666.66666666666,15.0,0,1.7,375.0,115.0,0.0,0.0,375.0,238,0
BMC,0,5,10.0,16.0,13.0,0.09999999999999432,2.0,136666.66666666666,20.0,0,2.68,335.0,109.0,0.0,8.5,378.8,1021,238
Banana,0,5,5.0,16.0,11.0,0.09999999999999432,2.0,116666.66666666666,25.0,0,1.75,350.0,115.0,0.0,3.7,349.875,626,238
Batmaja,0,5,29.0,16.0,20.0,0.09999999999999432,22.0,211333.3333333333,20.0,0,2.68,439.0,109.0,0.0,5.2,390.25,583,238
MBC,0,5,10.0,16.0,15.0,0.5,0.0,116666.66666666666,25.0,0,2.43,350.0,120.0,0.0,3.1,369.125,794,238
Mioduszewski,0,5,10.0,16.0,15.0,0.09999999999999432,5.0,120000.0,25.0,0,2.45,395.0,130.0,0.0,3.9,384.0,577,238
Najda,0,5,6.0,16.0,11.0,0.09999999999999432,1.0,123333.33333333333,25.0,0,1.76,375.0,120.0,0.0,4.1,377.0,555,238
Perspec,0,5,20.0,16.0,15.0,2.9000000000000057,3.0,123333.33333333333,24.0,0,2.41,345.0,120.0,0.0,4.0,366.0,953,238
Radw,0,5,5.0,16.0,9.0,0.09999999999999432,0.0,116666.66666666666,20.0,0,1.46,335.0,120.0,0.0,3.7,367.0,635,238
X21,0,5,15.0,16.0,25.0,0.09999999999999432,30.0,150000.0,16.0,0,2.7,374.0,115.0,0.0,0.0,367.75,816,238
X22,0,5,13.0,16.0,25.0,0.09999999999999432,30.0,150000.0,16.0,0,2.69,380.0,113.0,0.0,0.0,375.25,807,238
X23,0,5,18.0,16.0,27.0,0.09999999999999432,25.0,150000.0,16.0,0,2.7,379.0,117.0,0.0,0.0,378.75,823,238
X24,0,5,18.0,16.0,27.0,0.09999999999999432,25.0,150000.0,16.0,0,2.7,379.0,117.0,0.0,0.0,377.875,811,238
X25,0,5,5.0,16.0,9.0,0.09999999999999432,0.0,156666.66666666666,15.0,0,2.4,345.0,115.0,0.0,2.9,385.0,699,238
X26,0,5,7.0,16.0,10.0,0.09999999999999432,2.0,123333.33333333333,20.0,0,2.47,390.0,130.0,0.0,3.0,373.75,525,238
X27,0,5,22.0,16.0,20.0,0.09999999999999432,60.0,163333.3333333333,20.0,0,2.7,370.0,115.0,0.0,8.9,365.0,923,238
X28,0,5,12.0,16.0,10.0,0.09999999999999432,6.0,127333.33333333333,20.0,0,2.4,382.0,115.0,0.0,6.4,377.5,610,238
X29,0,5,13.0,16.0,9.0,0.09999999999999432,8.0,123333.33333333333,25.0,0,1.49,389.0,130.0,0.0,0.0,384.375,518,238
X30,0,5,22.0,16.0,28.0,0.09999999999999432,60.0,150666.66666666666,21.0,0,2.7,360.0,115.0,0.0,10.0,364.75,901,238
BMC,0,6,10.0,64.6,15.0,0.09999999999999432,3.0,180000.0,20.0,327,2.68,335.0,110.0,8.5,13.6,365.9098360655738,821,694
Banana,0,6,5.0,29.6,8.0,0.09999999999999432,4.0,136666.66666666666,25.0,315,1.8,380.0,115.0,3.7,6.0,406.98606271777,395,311
Batmaja,0,6,21.0,108.6,20.0,0.09999999999999432,37.0,353333.3333333333,20.0,0,2.67,435.0,105.0,5.2,5.3,372.57364341085275,428,583
MBC,0,6,10.0,29.6,15.0,0.4000000000000057,1.0,116666.66666666666,35.0,529,2.43,450.0,120.0,3.1,3.8,387.66216216216213,243,265
Mioduszewski,0,6,10.0,24.6,15.0,0.0,8.0,131666.66666666666,25.0,277,2.42,420.0,120.0,3.9,6.3,391.50793650793656,375,300
Najda,0,6,8.0,24.6,15.0,0.09999999999999432,2.0,187333.3333333333,35.0,243,1.81,375.0,120.0,4.1,9.5,377.9945054945055,560,312
Perspec,0,6,30.0,49.6,16.0,21.099999999999994,7.0,143333.3333333333,30.0,660,2.44,345.0,130.0,4.0,10.8,362.3134328358209,664,293
Radw,0,6,5.0,19.6,9.0,0.20000000000000284,0.0,116666.66666666666,20.0,353,2.4,355.0,100.0,3.7,7.1,386.1497326203209,434,282
X21,0,6,13.0,65.6,25.0,0.20000000000000284,40.0,200000.0,20.0,26,2.7,301.0,115.0,0.0,0.0,388.375,944,790
X22,0,6,20.0,64.6,25.0,0.20000000000000284,35.0,200000.0,20.0,37,2.69,300.0,113.0,0.0,12.1,342.625,1069,770
X23,0,6,15.0,58.6,20.0,0.09999999999999432,37.0,200000.0,20.0,0,2.7,310.0,117.0,0.0,0.0,365.75,958,823
X24,0,6,15.0,58.6,20.0,0.09999999999999432,37.0,200000.0,20.0,0,2.7,313.0,117.0,0.0,0.0,336.625,920,811
X25,0,6,8.0,24.6,9.0,0.09999999999999432,0.0,216666.66666666666,20.0,455,2.4,345.0,115.0,2.9,8.4,393.9335664335664,651,244
X26,0,6,7.0,19.6,10.0,0.09999999999999432,6.0,133333.3333333333,25.0,265,2.47,390.0,130.0,3.0,6.2,371.62587412587413,476,260
X27,0,6,29.0,39.6,20.0,0.09999999999999432,70.0,246666.66666666666,20.0,85,2.7,290.0,115.0,8.9,15.2,351.0837837837838,1519,838
X28,0,6,12.0,24.6,10.0,0.09999999999999432,10.0,153333.3333333333,20.0,60,2.41,340.0,118.0,6.4,8.8,370.33968253968254,647,550
X29,0,6,14.0,24.6,9.0,0.0,11.0,133333.3333333333,40.0,221,2.52,389.0,130.0,0.0,0.0,388.5,526,297
