Team,History,Cycle,DirAdv,CorpAdv,Commission,AgentsDistr,Training,ManagBudget,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
Historia,0,0,0.0,0.0,7.0,0,1.0,26666.666666666664,0,1.75,0.0,100.0,0.0,0.0,,0,0
Historia,0,1,5.0,15.0,7.0,2,3.0,73333.33333333333,0,1.55,285.0,115.0,0.0,0.0,285.0,594,0
Historia,0,2,5.0,19.0,7.0,3,1.0,90000.0,0,1.6,285.0,115.0,0.0,0.0,285.0,1210,594
Historia,0,3,5.0,21.4,7.0,3,0.0,103333.33333333333,0,1.65,300.0,115.0,0.0,0.0,300.0,1319,1210
Historia,0,4,5.0,22.84,7.0,3,0.0,111666.66666666666,0,1.7,325.0,115.0,0.0,0.0,325.0,967,1319
BMC,0,5,30.0,23.704,7.0,3,2.0,136666.66666666666,0,2.68,340.0,109.0,0.0,5.2,337.8,1386,967
Banana,0,5,6.0,23.704,8.0,3,2.0,116666.66666666666,0,1.75,300.0,115.0,0.0,4.6,308.625,1288,967
Batmaja,0,5,37.0,23.704,11.0,3,22.0,211333.3333333333,0,2.68,428.0,109.0,0.0,3.3,364.125,698,967
MBC,0,5,5.0,23.704,7.0,3,0.0,116666.66666666666,0,2.43,325.0,120.0,0.0,4.2,326.375,1150,967
Mioduszewski,0,5,10.0,23.704,8.0,3,5.0,120000.0,0,2.45,345.0,130.0,0.0,3.5,331.0,1213,967
Najda,0,5,5.0,23.704,7.0,3,1.0,123333.33333333333,0,1.76,325.0,120.0,0.0,5.1,328.0,1112,967
Perspec,0,5,15.0,23.704,7.0,3,3.0,123333.33333333333,0,2.41,335.0,120.0,0.0,5.1,324.0,1186,967
Radw,0,5,5.0,23.704,7.0,3,0.0,116666.66666666666,0,1.46,325.0,120.0,0.0,5.0,333.0,1044,967
X21,0,5,21.0,23.704,13.0,3,30.0,150000.0,0,2.7,344.0,115.0,0.0,0.0,338.0,1443,967
X22,0,5,19.0,23.704,13.0,3,30.0,150000.0,0,2.69,350.0,113.0,0.0,0.0,347.0,1404,967
X23,0,5,29.0,23.704,13.0,3,25.0,150000.0,0,2.7,351.0,117.0,0.0,0.0,366.25,1526,967
X24,0,5,29.0,23.704,13.0,3,25.0,150000.0,0,2.7,351.0,117.0,0.0,0.0,345.25,1461,967
X25,0,5,5.0,23.704,7.0,3,0.0,156666.66666666666,0,2.4,325.0,115.0,0.0,4.9,333.75,1221,967
X26,0,5,7.0,23.704,7.0,3,2.0,123333.33333333333,0,2.47,335.0,130.0,0.0,4.6,332.5,1184,967
X27,0,5,30.0,23.704,12.0,3,60.0,163333.3333333333,0,2.7,370.0,115.0,0.0,5.5,331.25,1459,967
X28,0,5,20.0,23.704,9.0,3,6.0,127333.33333333333,0,2.4,355.0,115.0,0.0,5.1,331.25,1196,967
X29,0,5,10.0,23.704,7.0,3,8.0,123333.33333333333,0,1.49,334.0,130.0,0.0,0.0,335.875,1070,967
X30,0,5,27.0,23.704,13.0,3,60.0,150666.66666666666,0,2.7,350.0,115.0,0.0,7.1,332.25,1543,967
BMC,0,6,35.0,29.2224,7.0,6,3.0,180000.0,355,2.68,340.0,110.0,5.2,9.7,282.18677042801556,1178,1031
Banana,0,6,5.0,24.2224,7.0,3,4.0,136666.66666666666,335,1.8,330.0,115.0,4.6,5.3,340.48245614035085,723,953
Batmaja,0,6,26.0,113.2224,11.0,8,37.0,353333.3333333333,0,2.67,427.0,105.0,3.3,3.4,343.480459770115,516,698
MBC,0,6,10.0,24.2224,7.0,3,1.0,116666.66666666666,268,2.43,375.0,120.0,4.2,3.9,338.159375,538,882
Mioduszewski,0,6,10.0,29.2224,8.0,4,8.0,131666.66666666666,513,2.42,365.0,120.0,3.5,6.4,333.7755102040816,703,700
Najda,0,6,7.0,26.2224,7.0,5,2.0,187333.3333333333,52,1.81,325.0,120.0,5.1,7.6,330.87209302325584,1010,1060
Perspec,0,6,25.0,44.2224,7.0,5,7.0,143333.3333333333,210,2.44,320.0,130.0,5.1,8.3,319.0346020761246,1099,976
Radw,0,6,5.0,24.2224,7.0,3,0.0,116666.66666666666,35,2.4,325.0,100.0,5.0,5.4,344.3975903614458,733,1009
X21,0,6,20.0,41.2224,13.0,7,40.0,200000.0,123,2.7,292.0,115.0,0.0,0.0,303.0,1470,1320
X22,0,6,23.0,39.2224,13.0,7,35.0,200000.0,50,2.69,303.0,113.0,0.0,10.3,327.625,1525,1354
X23,0,6,30.0,40.2224,13.0,7,37.0,200000.0,102,2.7,317.0,117.0,0.0,0.0,295.875,1313,1424
X24,0,6,30.0,40.2224,13.0,7,37.0,200000.0,37,2.7,315.0,117.0,0.0,0.0,319.125,1381,1424
X25,0,6,10.0,29.2224,7.0,4,0.0,216666.66666666666,146,2.4,325.0,115.0,4.9,6.7,338.1232492997199,1116,1075
X26,0,6,7.0,24.2224,7.0,3,6.0,133333.3333333333,159,2.47,335.0,130.0,4.6,5.9,342.68194842406876,947,1025
X27,0,6,49.0,54.2224,12.0,6,70.0,246666.66666666666,280,2.7,305.0,115.0,5.5,12.0,336.81126760563376,2449,1179
X28,0,6,26.0,34.2224,9.0,4,10.0,153333.3333333333,71,2.41,325.0,118.0,5.1,7.3,337.66404199475073,1096,1125
X29,0,6,12.0,29.2224,7.0,4,11.0,133333.3333333333,80,2.52,334.0,130.0,0.0,0.0,339.25,985,990
X30,0,6,41.0,42.2224,13.0,6,70.0,201666.66666666666,64,2.7,286.0,115.0,7.1,12.3,312.7125603864734,1949,1479
BMC,0,7,35.0,32.53344,7.0,6,3.0,200000.0,0,2.68,340.0,110.0,9.7,9.1,338.2352941176471,1347,1355
Banana,0,7,5.0,24.53344,7.0,3,5.0,166666.66666666666,0,2.52,360.0,120.0,5.3,4.0,343.0,692,837
Batmaja,0,7,5.0,166.93344,11.0,8,37.0,353333.3333333333,0,2.67,297.0,105.0,3.4,6.1,312.907063197026,1393,516
MBC,0,7,5.0,24.53344,7.0,4,2.0,116666.66666666666,0,2.15,350.0,130.0,3.9,4.1,334.2872628726287,705,613
Mioduszewski,0,7,12.0,32.53344,8.0,5,13.0,141666.66666666666,0,2.45,355.0,130.0,6.4,6.5,332.7777777777778,987,897
Najda,0,7,15.0,45.73344,8.0,6,3.0,268333.3333333333,0,1.88,329.0,125.0,7.6,8.7,331.7023411371237,1293,1036
Perspec,0,7,20.0,81.53344,7.0,5,6.0,161666.66666666666,0,2.43,320.0,125.0,8.3,9.6,396.1830238726791,1299,1109
Radw,0,7,5.0,24.53344,7.0,3,0.0,123333.33333333333,0,2.4,325.0,100.0,5.4,5.0,334.00352112676063,748,744
X21,0,7,21.0,60.73344,13.0,7,28.0,213333.3333333333,102,3.65,309.0,115.0,0.0,0.0,304.125,1572,1368
X22,0,7,30.0,63.53344,13.0,7,25.0,213333.3333333333,20,3.64,317.0,113.0,10.3,10.4,323.1334552102377,1711,1505
X23,0,7,18.0,64.13344000000001,13.0,7,28.0,213333.3333333333,0,3.65,342.0,116.0,0.0,0.0,294.75,1266,1364
X24,0,7,18.0,64.13344000000001,13.0,7,28.0,213333.3333333333,0,3.65,335.0,116.0,0.0,0.0,324.125,1402,1399
X25,0,7,15.0,42.53344,7.0,4,2.0,220000.0,0,2.4,325.0,115.0,6.7,0.0,335.41564792176035,1305,1189
X26,0,7,18.0,24.53344,8.0,4,10.0,140000.0,0,2.48,335.0,135.0,5.9,7.2,343.9130434782608,1374,1026
X27,0,7,40.0,62.53344,12.0,6,45.0,280000.0,408,3.65,368.0,115.0,12.0,11.1,309.5190476190476,1907,2041
X28,0,7,26.0,46.53344,9.0,6,10.0,170333.3333333333,0,2.41,325.0,118.0,7.3,0.0,325.85209713024284,1394,1131
X29,0,7,14.0,32.53344,7.0,5,14.0,136666.66666666666,0,2.5,330.0,123.0,0.0,0.0,331.5,1154,1025
X30,0,7,35.0,53.333439999999996,13.0,6,43.0,215000.0,0,3.65,294.0,115.0,12.3,13.1,303.19223985890653,2217,1951
BMC,0,8,35.0,34.520064,7.0,6,3.0,200000.0,0,3.63,310.0,110.0,9.1,12.7,317.0033222591362,1612,1347
Batmaja,0,8,13.0,143.16006399999998,11.0,8,37.0,353333.3333333333,380,2.67,303.0,105.0,6.1,3.9,308.01267828843106,1200,1013
Mioduszewski,0,8,10.0,29.520063999999998,8.0,7,17.0,141666.66666666666,0,2.45,345.0,130.0,6.5,8.6,392.9280821917808,1094,987
Najda,0,8,17.0,57.44006400000001,8.0,7,2.0,268333.3333333333,0,3.79,339.0,130.0,8.7,10.1,311.2276923076923,1359,1293
Perspec,0,8,17.0,98.920064,7.0,5,5.0,166666.66666666666,0,2.44,320.0,130.0,9.6,8.3,314.56603773584914,1105,1322
Radw,0,8,5.0,24.720063999999997,8.0,4,0.0,133333.3333333333,0,2.1,305.0,100.0,5.0,0.0,332.54152823920265,856,748
X21,0,8,25.0,74.44006399999999,13.0,7,18.0,240000.0,98,4.55,311.0,115.0,0.0,0.0,301.375,1416,1474
X22,0,8,25.0,68.120064,13.0,7,20.0,240000.0,0,4.54,290.0,113.0,10.4,0.0,319.0415973377704,1812,1729
X23,0,8,17.0,68.480064,13.0,7,25.0,240000.0,124,4.55,322.0,116.0,0.0,0.0,323.125,1453,1142
X24,0,8,17.0,68.480064,13.0,7,25.0,240000.0,152,4.55,320.0,117.0,0.0,0.0,315.75,1340,1250
X25,0,8,15.0,50.520064000000005,7.0,5,1.0,225000.0,0,2.4,325.0,115.0,0.0,0.0,336.875,1279,1305
X26,0,8,21.0,32.720064,8.0,5,15.0,153333.3333333333,0,2.48,335.0,135.0,7.2,8.3,353.27806122448976,1350,1374
X27,0,8,55.0,57.520064000000005,12.0,6,37.0,300000.0,0,4.55,319.0,115.0,11.1,16.5,326.92431192660547,2693,2036
X28,0,8,26.0,47.920064,9.0,6,10.0,176000.0,43,3.36,341.0,118.0,0.0,0.0,331.875,1135,1351
X29,0,8,15.0,34.520064,9.0,5,17.0,143000.0,33,3.45,334.0,125.0,0.0,0.0,333.625,1136,1121
X30,0,8,26.0,52.000064,13.0,6,32.0,235000.0,7,4.25,288.0,115.0,13.1,14.0,306.8458904109589,2085,2210
BMC,0,9,35.0,35.7120384,6.0,6,3.0,200000.0,0,3.58,320.0,110.0,12.7,0.0,418.72625698324026,1602,1612
Batmaja,0,9,19.0,120.8960384,11.0,8,37.0,353333.3333333333,653,2.67,320.0,105.0,3.9,0.0,299.0986547085202,894,547
Mioduszewski,0,9,10.0,27.712038399999997,8.0,7,17.0,143666.66666666666,0,2.46,340.0,135.0,8.6,8.6,334.2535211267606,1203,1094
Najda,0,9,35.0,63.46403839999999,10.0,8,1.0,268333.3333333333,284,3.74,333.0,130.0,10.1,0.0,341.3210332103321,1867,1075
Radw,0,9,10.0,19.8320384,8.0,4,0.0,133333.3333333333,0,2.1,305.0,100.0,0.0,0.0,330.0,945,856
X21,0,9,32.0,64.6640384,13.0,7,11.0,250000.0,0,4.45,332.0,115.0,0.0,0.0,306.75,1340,1494
X22,0,9,39.0,65.8720384,13.0,7,17.0,250000.0,0,4.44,281.0,113.0,0.0,0.0,314.5,2092,1812
X23,0,9,22.0,61.088038399999995,15.0,7,15.0,250000.0,13,4.47,350.0,122.0,0.0,0.0,328.625,1326,1440
X24,0,9,22.0,59.088038399999995,15.0,7,15.0,250000.0,0,4.47,335.0,122.0,0.0,0.0,315.25,1370,1416
X25,0,9,20.0,45.312038400000006,7.0,6,0.0,225000.0,0,3.05,325.0,115.0,0.0,9.1,341.25,1646,1279
X26,0,9,25.0,40.6320384,8.0,6,17.0,158333.3333333333,0,2.48,335.0,135.0,8.3,9.0,345.81176470588235,1505,1350
