Team,History,Cycle,DirAdv,CorpAdv,Commission,AgentsDistr,Training,ManagBudget,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
Historia,0,0,0.0,0.0,0.0,0,1.0,26666.666666666664,0,1.75,0.0,300.0,0.0,0.0,,0,0
Historia,0,1,0.0,0.0,0.0,0,3.0,73333.33333333333,0,1.53,0.0,325.0,0.0,0.0,,0,0
Historia,0,2,0.0,0.0,6.0,0,1.0,90000.0,0,1.58,0.0,325.0,0.0,0.0,,0,0
Historia,0,3,5.0,5.0,6.0,1,0.0,103333.33333333333,0,1.63,680.0,325.0,0.0,0.0,680.0,73,0
Historia,0,4,5.0,8.0,6.0,1,0.0,111666.66666666666,6,1.68,725.0,325.0,0.0,0.0,725.0,75,67
BMC,0,5,45.0,9.8,6.0,1,2.0,136666.66666666666,0,1.73,700.0,327.0,0.0,4.4,748.2,127,75
Banana,0,5,5.0,9.8,3.0,1,2.0,116666.66666666666,0,1.75,730.0,350.0,0.0,2.8,666.125,79,75
Batmaja,0,5,7.0,9.8,12.0,1,22.0,211333.3333333333,0,1.72,704.0,320.0,0.0,3.5,829.5,123,75
MBC,0,5,5.0,9.8,7.0,1,0.0,116666.66666666666,0,1.73,720.0,325.0,0.0,3.0,729.0,81,75
Mioduszewski,0,5,15.0,9.8,7.0,1,5.0,120000.0,0,1.74,750.0,340.0,0.0,2.7,733.0,88,75
Najda,0,5,7.0,9.8,6.0,1,1.0,123333.33333333333,0,1.73,725.0,325.0,0.0,3.2,728.0,87,75
Perspec,0,5,15.0,9.8,6.0,1,3.0,123333.33333333333,0,1.73,720.0,330.0,0.0,3.5,721.0,97,75
Radw,0,5,5.0,9.8,7.0,1,0.0,116666.66666666666,0,1.73,725.0,330.0,0.0,3.2,731.2,82,75
X21,0,5,5.0,9.8,13.0,1,30.0,150000.0,0,1.73,877.0,328.0,0.0,0.0,821.375,69,75
X22,0,5,5.0,9.8,13.0,1,30.0,150000.0,0,1.74,864.0,335.0,0.0,0.0,842.25,75,75
X23,0,5,3.0,9.8,12.0,1,25.0,150000.0,0,1.73,852.0,329.0,0.0,0.0,755.5,63,75
X24,0,5,3.0,9.8,12.0,1,25.0,150000.0,0,1.73,852.0,329.0,0.0,0.0,837.375,60,75
X25,0,5,5.0,9.8,6.0,1,0.0,156666.66666666666,0,1.75,725.0,345.0,0.0,3.2,747.5,86,75
X26,0,5,7.0,9.8,6.0,1,2.0,123333.33333333333,0,1.74,735.0,340.0,0.0,3.1,753.75,83,75
X27,0,5,6.0,9.8,15.0,1,60.0,163333.3333333333,0,1.73,800.0,325.0,0.0,4.1,750.0,140,75
X28,0,5,5.0,9.8,9.0,1,6.0,127333.33333333333,0,1.73,800.0,325.0,0.0,2.3,732.5,61,75
X29,0,5,8.0,9.8,6.0,1,8.0,123333.33333333333,0,1.74,744.0,335.0,0.0,0.0,734.25,82,75
X30,0,5,6.0,9.8,13.0,1,60.0,150666.66666666666,0,1.73,910.0,325.0,0.0,2.0,761.625,63,75
BMC,0,6,45.0,25.88,6.0,6,3.0,180000.0,13,1.78,700.0,330.0,4.4,18.5,738.0392156862745,309,114
Banana,0,6,5.0,20.88,1.0,2,4.0,136666.66666666666,0,1.77,730.0,315.0,2.8,2.1,739.4502617801048,45,79
Batmaja,0,6,14.0,55.88,12.0,5,37.0,353333.3333333333,35,1.76,800.0,310.0,3.5,10.5,831.3186274509806,190,88
MBC,0,6,10.0,25.88,7.0,3,1.0,116666.66666666666,0,1.78,825.0,325.0,3.0,6.3,753.3018867924528,142,82
Mioduszewski,0,6,15.0,20.88,7.0,2,8.0,131666.66666666666,18,1.79,795.0,330.0,2.7,8.7,741.161971830986,143,70
Najda,0,6,9.0,12.879999999999999,6.0,2,2.0,187333.3333333333,2,1.78,734.0,330.0,3.2,8.7,730.8476821192053,137,85
Perspec,0,6,25.0,30.88,6.0,3,7.0,143333.3333333333,9,1.79,715.0,340.0,3.5,6.5,720.1581920903956,215,88
