Team,History,Cycle,DirAdv,CorpAdv,Commission,AgentsDistr,Training,ManagBudget,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
Historia,0,0,0.0,0.0,0.0,0,1.0,26666.666666666664,0,1.75,0.0,100.0,0.0,0.0,,0,0
Historia,0,1,0.0,0.0,0.0,0,3.0,73333.33333333333,0,1.55,0.0,115.0,0.0,0.0,,0,0
Historia,0,2,0.0,0.0,6.0,0,1.0,90000.0,0,1.6,0.0,115.0,0.0,0.0,,0,0
Historia,0,3,5.0,5.0,6.0,1,0.0,103333.33333333333,0,1.65,290.0,115.0,0.0,0.0,290.0,180,0
Historia,0,4,5.0,8.0,6.0,1,0.0,111666.66666666666,0,1.7,335.0,115.0,0.0,0.0,335.0,157,180
BMC,0,5,35.0,9.8,6.0,1,2.0,136666.66666666666,0,2.68,325.0,109.0,0.0,2.2,339.8,332,157
Banana,0,5,5.0,9.8,3.0,1,2.0,116666.66666666666,0,1.75,300.0,115.0,0.0,1.4,315.5,253,157
Batmaja,0,5,10.0,9.8,12.0,1,22.0,211333.3333333333,0,2.68,325.0,109.0,0.0,2.3,346.125,324,157
MBC,0,5,10.0,9.8,7.0,1,0.0,116666.66666666666,0,2.43,335.0,120.0,0.0,1.7,339.125,236,157
Mioduszewski,0,5,10.0,9.8,7.0,1,5.0,120000.0,0,2.45,355.0,130.0,0.0,1.1,342.0,202,157
Najda,0,5,7.0,9.8,6.0,1,1.0,123333.33333333333,0,1.76,335.0,120.0,0.0,1.3,341.0,205,157
Perspec,0,5,15.0,9.8,6.0,1,3.0,123333.33333333333,0,2.41,330.0,120.0,0.0,1.3,331.0,258,157
Radw,0,5,5.0,9.8,7.0,1,0.0,116666.66666666666,0,1.46,335.0,120.0,0.0,1.1,347.4,181,157
X21,0,5,7.0,9.8,13.0,1,30.0,150000.0,0,2.7,324.0,115.0,0.0,0.0,324.625,357,157
X22,0,5,5.0,9.8,13.0,1,30.0,150000.0,0,2.69,325.0,113.0,0.0,0.0,336.625,344,157
X23,0,5,5.0,9.8,12.0,1,25.0,150000.0,0,2.7,306.0,117.0,0.0,0.0,352.5,353,157
X24,0,5,5.0,9.8,12.0,1,25.0,150000.0,0,2.7,306.0,117.0,0.0,0.0,334.25,347,157
X25,0,5,5.0,9.8,6.0,1,0.0,156666.66666666666,0,2.4,335.0,115.0,0.0,1.6,348.125,223,157
X26,0,5,7.0,9.8,6.0,1,2.0,123333.33333333333,0,2.47,345.0,130.0,0.0,1.3,340.0,216,157
X27,0,5,11.0,9.8,15.0,1,60.0,163333.3333333333,0,2.7,316.0,115.0,0.0,3.7,335.14285714285717,642,157
X28,0,5,10.0,9.8,9.0,1,6.0,127333.33333333333,0,2.4,382.0,115.0,0.0,1.0,342.75,140,157
X29,0,5,10.0,9.8,6.0,1,8.0,123333.33333333333,0,1.49,344.0,130.0,0.0,0.0,346.125,182,157
X30,0,5,13.0,9.8,13.0,1,60.0,150666.66666666666,0,2.7,350.0,115.0,0.0,2.0,333.0,326,157
BMC,0,6,35.0,25.88,6.0,6,3.0,180000.0,33,2.68,325.0,110.0,2.2,8.0,337.65333333333336,822,299
Banana,0,6,5.0,20.88,1.0,2,4.0,136666.66666666666,62,1.8,350.0,115.0,1.4,1.2,356.20535714285717,94,191
Batmaja,0,6,20.0,55.88,12.0,5,37.0,353333.3333333333,25,2.67,354.0,105.0,2.3,6.1,339.2517482517482,527,299
MBC,0,6,10.0,25.88,7.0,3,1.0,116666.66666666666,0,2.43,400.0,120.0,1.7,2.5,355.11111111111114,288,236
Mioduszewski,0,6,10.0,20.88,7.0,2,8.0,131666.66666666666,52,2.42,380.0,120.0,1.1,2.6,346.3114754098361,282,150
Najda,0,6,8.0,12.879999999999999,6.0,2,2.0,187333.3333333333,27,1.81,335.0,120.0,1.3,4.0,343.5,370,178
Perspec,0,6,25.0,30.88,6.0,3,7.0,143333.3333333333,92,2.44,330.0,130.0,1.3,3.7,324.57142857142856,573,166
Radw,0,6,5.0,15.879999999999999,7.0,2,0.0,116666.66666666666,33,2.4,335.0,100.0,1.1,2.1,359.2857142857143,352,148
X21,0,6,12.0,19.88,13.0,5,40.0,200000.0,21,2.7,290.0,115.0,0.0,0.0,296.375,840,336
X22,0,6,13.0,20.88,13.0,5,35.0,200000.0,0,2.69,290.0,113.0,0.0,11.3,292.125,983,344
X23,0,6,15.0,20.88,12.0,4,37.0,200000.0,0,2.7,325.0,117.0,0.0,0.0,312.875,758,353
X24,0,6,15.0,20.88,12.0,4,37.0,200000.0,0,2.7,300.0,117.0,0.0,0.0,312.5,820,347
X25,0,6,5.0,20.88,6.0,3,0.0,216666.66666666666,0,2.4,350.0,115.0,1.6,2.6,352.34375,448,223
