Team,History,Cycle,DirAdv,CorpAdv,Support,FailedVisits,Training,ManagBudget,WebDev,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
Historia,0,0,0.0,0.0,0.0,100.0,1.0,26666.666666666664,0.0,0,1.76,0.0,155.0,0.0,0.0,,0,0
Historia,0,1,0.0,0.0,0.0,100.0,3.0,73333.33333333333,0.0,0,1.53,0.0,165.0,0.0,0.0,,0,0
Historia,0,2,0.0,0.0,0.0,100.0,1.0,90000.0,0.0,0,1.58,0.0,165.0,0.0,0.0,,0,0
Historia,0,3,0.0,0.0,9.0,0.09999999999999432,0.0,103333.33333333333,15.0,0,1.63,0.0,165.0,0.0,0.0,,0,0
Historia,0,4,5.0,10.0,9.0,0.09999999999999432,0.0,111666.66666666666,15.0,0,2.63,590.0,165.0,0.0,0.0,590.0,162,0
BMC,0,5,10.0,16.0,13.0,0.09999999999999432,2.0,136666.66666666666,20.0,12,2.63,510.0,164.0,0.0,7.9,584.2,609,150
Banana,0,5,5.0,16.0,11.0,0.09999999999999432,2.0,116666.66666666666,25.0,12,2.63,600.0,165.0,0.0,4.6,545.5,334,150
Batmaja,0,5,31.0,16.0,20.0,0.09999999999999432,22.0,211333.3333333333,20.0,12,2.63,589.0,165.0,0.0,9.2,595.75,562,150
MBC,0,5,5.0,16.0,15.0,0.5,0.0,116666.66666666666,25.0,12,2.63,590.0,165.0,0.0,3.9,583.0,344,150
Mioduszewski,0,5,10.0,16.0,15.0,0.09999999999999432,5.0,120000.0,25.0,12,2.65,610.0,175.0,0.0,4.9,596.0,357,150
Najda,0,5,7.0,16.0,11.0,0.09999999999999432,1.0,123333.33333333333,25.0,12,2.34,590.0,170.0,0.0,4.8,596.0,354,150
Perspec,0,5,20.0,16.0,15.0,2.9000000000000057,3.0,123333.33333333333,24.0,12,2.64,565.0,170.0,0.0,4.9,560.0,487,150
Radw,0,5,5.0,16.0,9.0,0.09999999999999432,0.0,116666.66666666666,20.0,12,2.34,490.0,170.0,0.0,6.1,562.0,455,150
X21,0,5,13.0,16.0,25.0,0.09999999999999432,30.0,150000.0,16.0,12,2.63,580.0,166.0,0.0,0.0,584.25,475,150
X22,0,5,11.0,16.0,25.0,0.09999999999999432,30.0,150000.0,16.0,12,2.64,595.0,170.0,0.0,0.0,590.625,463,150
X23,0,5,11.0,16.0,27.0,0.09999999999999432,25.0,150000.0,16.0,12,2.64,593.0,169.0,0.0,0.0,568.0,431,150
X24,0,5,11.0,16.0,27.0,0.09999999999999432,25.0,150000.0,16.0,12,2.64,593.0,169.0,0.0,0.0,592.5,439,150
X25,0,5,5.0,16.0,9.0,0.09999999999999432,0.0,156666.66666666666,15.0,12,2.65,540.0,172.0,0.0,3.3,591.25,416,150
X26,0,5,7.0,16.0,10.0,0.09999999999999432,2.0,123333.33333333333,20.0,12,2.64,605.0,170.0,0.0,3.8,586.875,308,150
X27,0,5,20.0,16.0,20.0,0.09999999999999432,60.0,163333.3333333333,20.0,12,2.63,580.0,165.0,0.0,10.0,574.375,522,150
X28,0,5,8.0,16.0,10.0,0.09999999999999432,6.0,127333.33333333333,20.0,12,2.63,612.0,165.0,0.0,6.5,592.625,323,150
X29,0,5,13.0,16.0,9.0,0.09999999999999432,8.0,123333.33333333333,25.0,12,2.65,590.0,175.0,0.0,0.0,596.625,385,150
X30,0,5,16.0,16.0,28.0,0.09999999999999432,60.0,150666.66666666666,21.0,12,2.63,580.0,165.0,0.0,9.1,578.0,467,150
BMC,0,6,15.0,64.6,15.0,0.09999999999999432,3.0,180000.0,20.0,280,2.63,510.0,165.0,7.9,15.5,562.0035971223023,497,329
Banana,0,6,5.0,29.6,8.0,0.09999999999999432,4.0,136666.66666666666,25.0,135,2.63,600.0,165.0,4.6,7.4,601.7689530685922,259,199
Batmaja,0,6,19.0,108.6,20.0,0.09999999999999432,37.0,353333.3333333333,20.0,0,2.62,620.0,158.0,9.2,7.9,577.7334525939176,345,562
MBC,0,6,10.0,29.6,15.0,0.4000000000000057,1.0,116666.66666666666,35.0,167,2.63,675.0,165.0,3.9,5.6,594.2581602373887,195,177
Mioduszewski,0,6,10.0,24.6,15.0,0.0,8.0,131666.66666666666,25.0,157,2.65,630.0,170.0,4.9,8.3,602.6141078838174,265,200
Najda,0,6,9.0,24.6,15.0,0.09999999999999432,2.0,187333.3333333333,35.0,169,2.35,599.0,175.0,4.8,10.5,598.1953488372093,322,185
Perspec,0,6,30.0,49.6,16.0,21.099999999999994,7.0,143333.3333333333,30.0,291,2.66,565.0,180.0,4.9,10.4,555.4020979020979,354,196
Radw,0,6,5.0,19.6,9.0,0.20000000000000284,0.0,116666.66666666666,20.0,212,2.3,490.0,150.0,6.1,10.6,574.0206611570247,352,243
X21,0,6,12.0,65.6,25.0,0.20000000000000284,40.0,200000.0,20.0,25,2.63,516.0,166.0,0.0,0.0,532.25,444,450
X22,0,6,16.0,64.6,25.0,0.20000000000000284,35.0,200000.0,20.0,17,2.64,505.0,170.0,0.0,12.1,556.0,508,446
X23,0,6,10.0,58.6,20.0,0.09999999999999432,37.0,200000.0,20.0,0,2.64,510.0,169.0,0.0,0.0,524.125,482,431
X24,0,6,10.0,58.6,20.0,0.09999999999999432,37.0,200000.0,20.0,0,2.65,515.0,174.0,0.0,0.0,540.25,444,439
X25,0,6,8.0,24.6,9.0,0.09999999999999432,0.0,216666.66666666666,20.0,269,2.65,540.0,172.0,3.3,9.6,590.6838905775077,404,147
X26,0,6,9.0,19.6,10.0,0.09999999999999432,6.0,133333.3333333333,25.0,138,2.64,605.0,170.0,3.8,7.1,585.5287009063445,300,170
X27,0,6,24.0,39.6,20.0,0.09999999999999432,70.0,246666.66666666666,20.0,42,2.63,485.0,165.0,10.0,14.0,557.804177545692,718,480
X28,0,6,10.0,24.6,10.0,0.09999999999999432,10.0,153333.3333333333,20.0,23,2.64,550.0,168.0,6.5,8.4,588.1777777777778,329,300
X29,0,6,14.0,24.6,9.0,0.0,11.0,133333.3333333333,40.0,205,2.66,589.0,175.0,0.0,0.0,598.375,315,180
X30,0,6,24.0,34.6,28.0,0.09999999999999432,70.0,201666.66666666666,21.0,15,2.63,464.0,165.0,9.1,13.1,538.0694444444445,559,452
BMC,0,7,15.0,93.75999999999999,15.0,0.20000000000000284,3.0,200000.0,20.0,0,3.58,540.0,165.0,15.5,16.3,566.6658653846154,596,497
Banana,0,7,10.0,27.759999999999998,11.0,0.4000000000000057,5.0,166666.66666666666,10.0,0,3.36,630.0,190.0,7.4,8.9,608.1350114416475,350,259
Batmaja,0,7,10.0,164.16,20.0,0.09999999999999432,37.0,353333.3333333333,20.0,0,3.27,485.0,158.0,7.9,5.2,517.4968944099378,643,345
MBC,0,7,10.0,37.76,15.0,0.29999999999999716,2.0,116666.66666666666,25.0,0,3.32,625.0,180.0,5.6,8.4,590.8503401360545,328,195
Mioduszewski,0,7,10.0,29.759999999999998,15.0,0.0,13.0,141666.66666666666,20.0,0,2.38,615.0,185.0,8.3,9.7,597.7127659574467,354,265
Najda,0,7,11.0,54.76,17.0,0.29999999999999716,3.0,268333.3333333333,40.0,0,2.36,599.0,180.0,10.5,11.6,602.328947368421,451,322
Perspec,0,7,25.0,104.75999999999999,20.0,2.0,6.0,161666.66666666666,35.0,0,3.3,565.0,175.0,10.4,12.6,583.1157894736842,521,354
Radw,0,7,5.0,21.759999999999998,9.0,0.4000000000000057,0.0,123333.33333333333,20.0,0,2.0,490.0,150.0,10.6,10.9,543.3830845771143,445,352
X21,0,7,13.0,105.36,25.0,0.20000000000000284,28.0,213333.3333333333,20.0,19,3.58,528.0,166.0,0.0,0.0,515.625,563,425
X22,0,7,20.0,103.75999999999999,25.0,0.20000000000000284,25.0,213333.3333333333,23.0,3,3.59,541.0,170.0,12.1,11.1,540.133971291866,593,505
X23,0,7,14.0,110.16,20.0,0.09999999999999432,28.0,213333.3333333333,20.0,29,3.59,563.0,168.0,0.0,0.0,494.0,548,453
X24,0,7,14.0,110.16,20.0,0.09999999999999432,28.0,213333.3333333333,20.0,0,3.59,550.0,168.0,0.0,0.0,533.375,537,444
X25,0,7,8.0,39.76,9.0,0.09999999999999432,2.0,220000.0,25.0,0,2.35,540.0,172.0,9.6,0.0,580.2434077079108,545,404
X26,0,7,18.0,21.759999999999998,11.0,0.09999999999999432,10.0,140000.0,33.0,0,3.33,605.0,175.0,7.1,9.9,589.7239915074309,491,300
X27,0,7,22.0,53.76,20.0,0.09999999999999432,45.0,280000.0,20.0,103,3.58,600.0,165.0,14.0,10.2,562.9111531190927,647,615
X28,0,7,10.0,33.76,10.0,0.09999999999999432,10.0,170333.3333333333,20.0,0,2.64,550.0,168.0,8.4,0.0,541.2486085343228,417,329
