Team,History,Cycle,DirAdv,CorpAdv,Commission,AgentsDistr,Training,ManagBudget,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
Historia,0,0,0.0,0.0,7.0,0,1.0,26666.666666666664,0,1.76,0.0,155.0,0.0,0.0,,0,0
Historia,0,1,5.0,15.0,7.0,2,3.0,73333.33333333333,0,1.53,450.0,165.0,0.0,0.0,450.0,368,0
Historia,0,2,5.0,19.0,7.0,3,1.0,90000.0,0,1.58,450.0,165.0,0.0,0.0,450.0,684,368
Historia,0,3,5.0,21.4,7.0,3,0.0,103333.33333333333,0,1.63,450.0,165.0,0.0,0.0,450.0,805,684
Historia,0,4,5.0,22.84,7.0,3,0.0,111666.66666666666,7,2.63,490.0,165.0,0.0,0.0,490.0,634,798
BMC,0,5,30.0,23.704,7.0,3,2.0,136666.66666666666,9,2.63,510.0,164.0,0.0,7.3,504.2,832,625
Banana,0,5,10.0,23.704,8.0,3,2.0,116666.66666666666,9,2.63,500.0,165.0,0.0,5.4,460.5,784,625
Batmaja,0,5,31.0,23.704,11.0,3,22.0,211333.3333333333,9,2.63,590.0,165.0,0.0,6.1,551.875,663,625
MBC,0,5,5.0,23.704,7.0,3,0.0,116666.66666666666,9,2.63,450.0,165.0,0.0,5.2,483.25,806,625
Mioduszewski,0,5,10.0,23.704,8.0,3,5.0,120000.0,9,2.65,505.0,175.0,0.0,5.1,497.0,777,625
Najda,0,5,6.0,23.704,7.0,3,1.0,123333.33333333333,9,2.34,490.0,170.0,0.0,6.5,496.0,704,625
Perspec,0,5,15.0,23.704,7.0,3,3.0,123333.33333333333,9,2.64,495.0,170.0,0.0,6.5,488.0,728,625
Radw,0,5,5.0,23.704,7.0,3,0.0,116666.66666666666,9,2.34,490.0,170.0,0.0,6.3,493.0,677,625
X21,0,5,16.0,23.704,13.0,3,30.0,150000.0,9,2.63,561.0,166.0,0.0,0.0,537.5,701,625
X22,0,5,14.0,23.704,13.0,3,30.0,150000.0,9,2.64,560.0,170.0,0.0,0.0,536.75,719,625
X23,0,5,14.0,23.704,13.0,3,25.0,150000.0,9,2.64,562.0,169.0,0.0,0.0,526.125,674,625
X24,0,5,14.0,23.704,13.0,3,25.0,150000.0,9,2.64,562.0,169.0,0.0,0.0,538.375,696,625
X25,0,5,5.0,23.704,7.0,3,0.0,156666.66666666666,9,2.65,490.0,172.0,0.0,5.6,503.75,736,625
X26,0,5,7.0,23.704,7.0,3,2.0,123333.33333333333,9,2.64,500.0,170.0,0.0,5.7,493.125,694,625
X27,0,5,25.0,23.704,12.0,3,60.0,163333.3333333333,9,2.63,580.0,165.0,0.0,5.7,502.5,793,625
