Team,History,Cycle,DirAdv,CorpAdv,Commission,AgentsDistr,Training,ManagBudget,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
BMC,0,7,35.0,32.53344,7.0,6,3.0,200000.0,0,2.78,750.0,330.0,14.5,14.8,720.4084821428572,457,423
Banana,0,7,5.0,24.53344,7.0,3,5.0,166666.66666666666,0,2.49,730.0,330.0,6.9,6.3,679.3981481481482,264,283
Batmaja,0,7,15.0,166.93344,11.0,8,37.0,353333.3333333333,0,2.46,750.0,310.0,7.3,7.6,772.5736434108527,411,248
MBC,0,7,5.0,24.53344,7.0,4,2.0,116666.66666666666,0,2.49,725.0,330.0,6.8,7.8,706.6609880749573,288,262
Mioduszewski,0,7,12.0,32.53344,8.0,5,13.0,141666.66666666666,0,1.56,760.0,350.0,9.7,10.5,717.5149105367793,327,300
Najda,0,7,13.0,45.73344,8.0,6,3.0,268333.3333333333,0,1.84,705.0,335.0,11.2,13.3,710.7899628252788,423,345
Perspec,0,7,25.0,81.53344,7.0,5,6.0,161666.66666666666,0,2.79,700.0,335.0,12.0,13.2,732.061371841155,417,347
Radw,0,7,5.0,24.53344,7.0,3,0.0,123333.33333333333,0,1.5,700.0,300.0,9.1,8.2,712.4335378323108,264,278
X21,0,7,12.0,60.73344,13.0,7,28.0,213333.3333333333,5,2.78,820.0,328.0,0.0,0.0,783.125,339,305
X22,0,7,15.0,63.53344,13.0,7,25.0,213333.3333333333,5,2.79,830.0,335.0,10.6,9.5,809.8255250403876,354,327
X23,0,7,11.0,64.13344000000001,13.0,7,28.0,213333.3333333333,26,2.78,898.0,330.0,0.0,0.0,756.75,319,300
X24,0,7,10.0,64.13344000000001,13.0,7,28.0,213333.3333333333,9,2.78,840.0,330.0,0.0,0.0,810.125,323,285
X25,0,7,10.0,42.53344,7.0,4,2.0,220000.0,0,1.85,700.0,345.0,9.6,0.0,713.5564516129032,400,417
X26,0,7,18.0,24.53344,8.0,4,10.0,140000.0,0,2.83,760.0,345.0,7.7,9.7,760.7264808362369,412,314
X27,0,7,28.0,62.53344,12.0,6,45.0,280000.0,47,2.78,969.0,325.0,10.1,9.3,728.1678200692041,355,392
X28,0,7,12.0,46.53344,9.0,6,10.0,170333.3333333333,0,1.83,725.0,330.0,8.1,0.0,708.1376582278482,359,301
X29,0,7,14.0,32.53344,7.0,5,14.0,136666.66666666666,0,2.8,709.0,335.0,0.0,0.0,707.25,374,313
X30,0,7,17.0,53.333439999999996,13.0,6,43.0,215000.0,31,2.78,765.0,325.0,10.9,11.5,752.3566878980891,420,369
BMC,0,8,35.0,34.520064,7.0,6,3.0,200000.0,0,2.78,720.0,330.0,14.8,17.0,661.8148936170213,470,457
Batmaja,0,8,11.0,143.16006399999998,11.0,8,37.0,353333.3333333333,127,2.46,803.0,310.0,7.6,5.7,781.5236728837875,272,284
Mioduszewski,0,8,10.0,29.520063999999998,8.0,7,17.0,141666.66666666666,0,2.57,740.0,350.0,10.5,12.7,705.6525423728814,358,327
Najda,0,8,12.0,57.44006400000001,8.0,7,2.0,268333.3333333333,0,1.84,709.0,340.0,13.3,14.8,750.3091247672254,402,423
Perspec,0,8,21.0,98.920064,7.0,5,5.0,166666.66666666666,17,2.79,700.0,340.0,13.2,12.7,692.4934579439253,337,400
Radw,0,8,5.0,24.720063999999997,8.0,4,0.0,133333.3333333333,0,1.55,700.0,300.0,8.2,0.0,738.56993736952,263,264
X21,0,8,11.0,74.44006399999999,13.0,7,18.0,240000.0,0,2.78,790.0,328.0,0.0,0.0,766.75,314,340
X22,0,8,13.0,68.120064,13.0,7,20.0,240000.0,0,2.79,778.0,335.0,9.5,0.0,796.5212922173275,336,355
X23,0,8,10.0,68.480064,13.0,7,25.0,240000.0,21,2.79,834.0,340.0,0.0,0.0,697.625,272,298
X24,0,8,10.0,68.480064,13.0,7,25.0,240000.0,0,2.79,817.0,340.0,0.0,0.0,801.875,298,327
X25,0,8,10.0,50.520064000000005,7.0,5,1.0,225000.0,0,2.8,700.0,345.0,0.0,0.0,718.125,387,400
X26,0,8,21.0,32.720064,8.0,5,15.0,153333.3333333333,0,2.83,760.0,345.0,9.7,10.4,779.2416225749558,381,412
X27,0,8,18.0,57.520064000000005,12.0,6,37.0,300000.0,0,2.78,839.0,325.0,9.3,10.1,824.3422939068101,433,371
X28,0,8,12.0,47.920064,9.0,6,10.0,176000.0,19,2.78,738.0,330.0,0.0,0.0,711.875,343,340
X29,0,8,15.0,34.520064,9.0,5,17.0,143000.0,11,2.79,714.0,334.0,0.0,0.0,708.75,333,363
X30,0,8,12.0,52.000064,13.0,6,32.0,235000.0,0,2.78,750.0,325.0,11.5,11.3,747.5396113602392,374,433
BMC,0,9,35.0,35.7120384,6.0,6,3.0,200000.0,0,3.73,740.0,330.0,17.0,0.0,757.0577777777778,394,470
Batmaja,0,9,12.0,120.8960384,11.0,8,37.0,353333.3333333333,90,3.11,803.0,310.0,5.7,0.0,779.827972027972,282,182
Mioduszewski,0,9,12.0,27.712038399999997,8.0,7,17.0,143666.66666666666,38,3.52,740.0,355.0,12.7,15.6,715.25,396,320
Najda,0,9,17.0,63.46403839999999,10.0,8,1.0,268333.3333333333,0,1.84,709.0,340.0,14.8,0.0,730.5910780669145,502,402
