Team,History,Cycle,DirAdv,CorpAdv,Support,FailedVisits,Training,ManagBudget,WebDev,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
MBC,0,7,10.0,37.76,15.0,0.29999999999999716,2.0,116666.66666666666,25.0,0,2.49,875.0,330.0,6.2,10.7,839.3670668953688,194,107
Mioduszewski,0,7,12.0,29.759999999999998,15.0,0.0,13.0,141666.66666666666,20.0,0,1.56,880.0,350.0,11.1,12.7,856.7857142857143,208,160
Najda,0,7,11.0,54.76,17.0,0.29999999999999716,3.0,268333.3333333333,40.0,0,1.84,860.0,335.0,12.6,13.8,860.5145631067961,249,179
Perspec,0,7,25.0,104.75999999999999,20.0,2.0,6.0,161666.66666666666,35.0,0,2.79,820.0,335.0,13.1,15.9,848.2604735883426,277,191
Radw,0,7,5.0,21.759999999999998,9.0,0.4000000000000057,0.0,123333.33333333333,20.0,0,1.5,725.0,300.0,12.8,12.8,777.2061657032756,237,191
X21,0,7,10.0,105.36,25.0,0.20000000000000284,28.0,213333.3333333333,20.0,18,2.78,840.0,328.0,0.0,0.0,828.5,254,197
X22,0,7,15.0,103.75999999999999,25.0,0.20000000000000284,25.0,213333.3333333333,23.0,0,2.79,865.0,335.0,13.1,10.7,846.2252906976745,260,246
X23,0,7,9.0,110.16,20.0,0.09999999999999432,28.0,213333.3333333333,20.0,7,2.78,888.0,330.0,0.0,0.0,760.875,245,183
X24,0,7,9.0,110.16,20.0,0.09999999999999432,28.0,213333.3333333333,20.0,0,2.78,890.0,330.0,0.0,0.0,840.625,230,185
X25,0,7,8.0,39.76,9.0,0.09999999999999432,2.0,220000.0,25.0,0,1.85,775.0,345.0,11.0,0.0,839.81658692185,298,227
X26,0,7,18.0,21.759999999999998,11.0,0.09999999999999432,10.0,140000.0,33.0,16,2.83,870.0,345.0,6.9,10.8,870.2298850574712,269,142
X27,0,7,20.0,53.76,20.0,0.09999999999999432,45.0,280000.0,20.0,61,2.78,958.0,325.0,12.2,9.4,850.9920760697306,265,251
X28,0,7,8.0,33.76,10.0,0.09999999999999432,10.0,170333.3333333333,20.0,0,1.83,760.0,330.0,10.4,0.0,758.5077639751553,231,192
X29,0,7,15.0,29.759999999999998,10.0,0.0,14.0,136666.66666666666,45.0,0,2.8,849.0,335.0,0.0,0.0,853.5,238,176
X30,0,7,13.0,45.76,28.0,0.09999999999999432,43.0,215000.0,21.0,0,2.78,773.0,325.0,11.9,11.6,811.8691860465115,282,232
